num,fixed_acidit,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
1,0.3076923076923078,0.18627450980392157,0.21686746987951808,0.30828220858895705,0.10682492581602374,0.14982578397212543,0.37354988399071926,0.26778484673221215,0.25454545454545485,0.26744186046511625,0.12903225806451624,6
2,0.24038461538461542,0.21568627450980388,0.20481927710843376,0.015337423312883437,0.11869436201780417,0.041811846689895474,0.2853828306264501,0.13283208020050097,0.5272727272727273,0.31395348837209297,0.24193548387096775,6
3,0.41346153846153855,0.19607843137254904,0.24096385542168677,0.09662576687116564,0.12166172106824927,0.0975609756097561,0.20417633410672853,0.15403894351262792,0.49090909090909074,0.25581395348837205,0.33870967741935476,6
4,0.3269230769230771,0.14705882352941177,0.1927710843373494,0.12116564417177914,0.1454005934718101,0.156794425087108,0.41067285382830626,0.1636784268363236,0.42727272727272725,0.20930232558139533,0.306451612903226,6
5,0.3269230769230771,0.14705882352941177,0.1927710843373494,0.12116564417177914,0.1454005934718101,0.156794425087108,0.41067285382830626,0.1636784268363236,0.42727272727272725,0.20930232558139533,0.306451612903226,6
6,0.41346153846153855,0.19607843137254904,0.24096385542168677,0.09662576687116564,0.12166172106824927,0.0975609756097561,0.20417633410672853,0.15403894351262792,0.49090909090909074,0.25581395348837205,0.33870967741935476,6
7,0.23076923076923084,0.23529411764705882,0.0963855421686747,0.09815950920245399,0.10682492581602374,0.0975609756097561,0.29466357308584684,0.15018315018314965,0.41818181818181843,0.29069767441860456,0.25806451612903225,6
8,0.3076923076923078,0.18627450980392157,0.21686746987951808,0.30828220858895705,0.10682492581602374,0.14982578397212543,0.37354988399071926,0.26778484673221215,0.25454545454545485,0.26744186046511625,0.12903225806451624,6
9,0.24038461538461542,0.21568627450980388,0.20481927710843376,0.015337423312883437,0.11869436201780417,0.041811846689895474,0.2853828306264501,0.13283208020050097,0.5272727272727273,0.31395348837209297,0.24193548387096775,6
10,0.41346153846153855,0.1372549019607843,0.25903614457831325,0.013803680981595092,0.10385756676557864,0.09059233449477352,0.27842227378190254,0.1289762868710227,0.45454545454545503,0.26744186046511625,0.4838709677419355,6
11,0.41346153846153855,0.18627450980392157,0.24698795180722893,0.013036809815950921,0.07121661721068251,0.0313588850174216,0.12529002320185612,0.07113938692886279,0.2454545454545456,0.3953488372093023,0.6451612903225807,5
12,0.4615384615384617,0.14705882352941177,0.24096385542168677,0.05521472392638037,0.07715133531157273,0.05226480836236934,0.23201856148491878,0.14632735685367493,0.3818181818181823,0.3604651162790698,0.27419354838709675,5
13,0.3942307692307694,0.0980392156862745,0.22289156626506026,0.00920245398773006,0.09198813056379823,0.04878048780487805,0.15313225058004637,0.09427414690572533,0.41818181818181843,0.47674418604651153,0.4516129032258067,5
14,0.2692307692307693,0.0784313725490196,0.24096385542168677,0.013803680981595092,0.10385756676557864,0.16027874564459932,0.31090487238979114,0.07885097358781579,0.7454545454545456,0.3488372093023256,0.709677419354839,7
15,0.43269230769230793,0.3333333333333333,0.3734939759036145,0.2860429447852761,0.09198813056379823,0.13588850174216027,0.3781902552204176,0.25236167341430615,0.23636363636363633,0.5232558139534884,0.27419354838709675,5
16,0.2692307692307693,0.08823529411764708,0.22891566265060243,0.013803680981595092,0.06824925816023741,0.09059233449477352,0.23897911832946633,0.08270676691729406,0.4818181818181819,0.3837209302325581,0.5483870967741937,7
17,0.24038461538461542,0.392156862745098,0.024096385542168676,0.007668711656441719,0.10979228486646886,0.0975609756097561,0.20881670533642688,0.10969732022363843,0.4727272727272731,0.16279069767441856,0.25806451612903225,6
18,0.23076923076923084,0.5686274509803921,0.2891566265060241,0.00920245398773006,0.05934718100890209,0.09407665505226481,0.15313225058004637,0.04029304029304015,0.5545454545454547,0.19767441860465118,0.774193548387097,8
19,0.34615384615384626,0.25490196078431376,0.2530120481927711,0.007668711656441719,0.07121661721068251,0.05226480836236934,0.3758700696055684,0.08849045691151147,0.36363636363636376,0.3604651162790698,0.5322580645161292,6
20,0.2596153846153847,0.22549019607843135,0.08433734939759038,0.1058282208588957,0.10385756676557864,0.11149825783972125,0.2877030162412993,0.16175053017158447,0.45454545454545503,0.3255813953488372,0.24193548387096775,5
21,0.23076923076923084,0.5686274509803921,0.2891566265060241,0.00920245398773006,0.05934718100890209,0.09407665505226481,0.15313225058004637,0.04029304029304015,0.5545454545454547,0.19767441860465118,0.774193548387097,8
22,0.2500000000000001,0.22549019607843135,0.22891566265060243,0.035276073619631906,0.08605341246290801,0.059233449477351915,0.21577726218097448,0.07885097358781579,0.40909090909090917,0.1511627906976744,0.4838709677419355,7
23,0.28846153846153855,0.1764705882352941,0.2530120481927711,0.01687116564417178,0.11869436201780417,0.13588850174216027,0.26218097447795824,0.11355311355311315,0.6818181818181821,0.30232558139534876,0.403225806451613,8
24,0.3653846153846154,0.5784313725490196,0.08433734939759038,0.013803680981595092,0.19287833827893175,0.08013937282229966,0.36890951276102085,0.1270483902062871,0.2999999999999998,0.3372093023255814,0.20967741935483875,5
25,0.2692307692307693,0.18627450980392157,0.24698795180722893,0.010736196319018405,0.12759643916913946,0.04878048780487805,0.30858468677494194,0.15403894351262792,0.6363636363636367,0.29069767441860456,0.3225806451612905,6
26,0.3076923076923078,0.16666666666666666,0.1927710843373494,0.12883435582822086,0.10979228486646886,0.18815331010452963,0.5475638051044084,0.16175053017158447,0.4818181818181819,0.3255813953488372,0.3870967741935485,6
27,0.29807692307692324,0.15686274509803919,0.21084337349397592,0.006134969325153375,0.12759643916913946,0.11498257839721254,0.31786542923433875,0.11355311355311315,0.663636363636364,0.25581395348837205,0.3225806451612905,6
28,0.3076923076923078,0.19607843137254904,0.2349397590361446,0.1242331288343558,0.12462908011869436,0.10452961672473868,0.3062645011600928,0.17331791016001574,0.6000000000000001,0.3604651162790698,0.403225806451613,6
29,0.34615384615384626,0.18627450980392157,0.2891566265060241,0.007668711656441719,0.11275964391691395,0.05226480836236934,0.2853828306264501,0.08270676691729406,0.42727272727272725,0.31395348837209297,0.5806451612903225,6
30,0.3269230769230771,0.23529411764705882,0.21686746987951808,0.02147239263803681,0.07121661721068251,0.12195121951219512,0.24361948955916474,0.06728359359938452,0.3454545454545457,0.569767441860465,0.6935483870967745,7
31,0.4519230769230771,0.15686274509803919,0.2349397590361446,0.15030674846625766,0.10385756676557864,0.0627177700348432,0.30858468677494194,0.19838056680161742,0.4363636363636365,0.3604651162790698,0.3225806451612905,6
32,0.43269230769230793,0.05882352941176472,0.20481927710843376,0.007668711656441719,0.09792284866468845,0.01742160278745645,0.08816705336426914,0.1212647002120697,0.6818181818181821,0.20930232558139533,0.35483870967741926,6
33,0.34615384615384626,0.16666666666666666,0.21686746987951808,0.02223926380368098,0.12166172106824927,0.10104529616724739,0.21113689095127608,0.09427414690572533,0.42727272727272725,0.25581395348837205,0.4516129032258067,6
34,0.23076923076923084,0.03921568627450979,0.20481927710843376,0.013803680981595092,0.10682492581602374,0.14285714285714285,0.2505800464037123,0.13090418353576183,0.6363636363636367,0.3372093023255814,0.16129032258064524,6
