,fixed_acidit,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
0,0.3076923076923078,0.18627450980392157,0.21686746987951808,0.30828220858895705,0.10682492581602374,0.14982578397212543,0.37354988399071926,0.26778484673221215,0.25454545454545485,0.26744186046511625,0.12903225806451624,0.5
1,0.24038461538461542,0.21568627450980388,0.20481927710843376,0.015337423312883437,0.11869436201780417,0.041811846689895474,0.2853828306264501,0.13283208020050097,0.5272727272727273,0.31395348837209297,0.24193548387096775,0.5
2,0.41346153846153855,0.19607843137254904,0.24096385542168677,0.09662576687116564,0.12166172106824927,0.0975609756097561,0.20417633410672853,0.15403894351262792,0.49090909090909074,0.25581395348837205,0.33870967741935476,0.5
3,0.3269230769230771,0.14705882352941177,0.1927710843373494,0.12116564417177914,0.1454005934718101,0.156794425087108,0.41067285382830626,0.1636784268363236,0.42727272727272725,0.20930232558139533,0.306451612903226,0.5
4,0.3269230769230771,0.14705882352941177,0.1927710843373494,0.12116564417177914,0.1454005934718101,0.156794425087108,0.41067285382830626,0.1636784268363236,0.42727272727272725,0.20930232558139533,0.306451612903226,0.5
5,0.41346153846153855,0.19607843137254904,0.24096385542168677,0.09662576687116564,0.12166172106824927,0.0975609756097561,0.20417633410672853,0.15403894351262792,0.49090909090909074,0.25581395348837205,0.33870967741935476,0.5
6,0.23076923076923084,0.23529411764705882,0.0963855421686747,0.09815950920245399,0.10682492581602374,0.0975609756097561,0.29466357308584684,0.15018315018314965,0.41818181818181843,0.29069767441860456,0.25806451612903225,0.5
7,0.3076923076923078,0.18627450980392157,0.21686746987951808,0.30828220858895705,0.10682492581602374,0.14982578397212543,0.37354988399071926,0.26778484673221215,0.25454545454545485,0.26744186046511625,0.12903225806451624,0.5
8,0.24038461538461542,0.21568627450980388,0.20481927710843376,0.015337423312883437,0.11869436201780417,0.041811846689895474,0.2853828306264501,0.13283208020050097,0.5272727272727273,0.31395348837209297,0.24193548387096775,0.5
9,0.41346153846153855,0.1372549019607843,0.25903614457831325,0.013803680981595092,0.10385756676557864,0.09059233449477352,0.27842227378190254,0.1289762868710227,0.45454545454545503,0.26744186046511625,0.4838709677419355,0.5
10,0.41346153846153855,0.18627450980392157,0.24698795180722893,0.013036809815950921,0.07121661721068251,0.0313588850174216,0.12529002320185612,0.07113938692886279,0.2454545454545456,0.3953488372093023,0.6451612903225807,0.25
11,0.4615384615384617,0.14705882352941177,0.24096385542168677,0.05521472392638037,0.07715133531157273,0.05226480836236934,0.23201856148491878,0.14632735685367493,0.3818181818181823,0.3604651162790698,0.27419354838709675,0.25
12,0.3942307692307694,0.0980392156862745,0.22289156626506026,0.00920245398773006,0.09198813056379823,0.04878048780487805,0.15313225058004637,0.09427414690572533,0.41818181818181843,0.47674418604651153,0.4516129032258067,0.25
13,0.2692307692307693,0.0784313725490196,0.24096385542168677,0.013803680981595092,0.10385756676557864,0.16027874564459932,0.31090487238979114,0.07885097358781579,0.7454545454545456,0.3488372093023256,0.709677419354839,0.75
14,0.43269230769230793,0.3333333333333333,0.3734939759036145,0.2860429447852761,0.09198813056379823,0.13588850174216027,0.3781902552204176,0.25236167341430615,0.23636363636363633,0.5232558139534884,0.27419354838709675,0.25
